timestamp,open,high,low,close,volume
2023-11-20 00:00:00+00:00,61.1,61.33,59.78,59.92,973344.61
2023-11-20 04:00:00+00:00,59.91,60.18,59.12,59.88,672604.57
2023-11-20 08:00:00+00:00,59.89,61.09,59.3,60.08,888828.5
2023-11-20 12:00:00+00:00,60.08,60.63,57.6,59.01,1490147.98
2023-11-20 16:00:00+00:00,59.01,59.41,56.6,57.54,1842382.6
2023-11-20 20:00:00+00:00,57.54,57.79,56.0,56.57,1260254.02
2023-11-21 00:00:00+00:00,56.57,57.4,55.1,56.0,1155926.31
2023-11-21 04:00:00+00:00,56.01,56.45,55.3,55.39,800519.87
2023-11-21 08:00:00+00:00,55.39,57.12,55.36,56.27,939525.79
2023-11-21 12:00:00+00:00,56.28,56.65,52.73,55.11,2472966.67
2023-11-21 16:00:00+00:00,55.11,56.24,52.35,54.81,2727687.85
2023-11-21 20:00:00+00:00,54.82,55.8,51.23,51.65,2644462.41
2023-11-22 00:00:00+00:00,51.65,54.46,51.43,54.37,1484593.69
2023-11-22 04:00:00+00:00,54.36,55.29,53.89,54.67,867782.35
2023-11-22 08:00:00+00:00,54.68,55.23,54.37,54.53,893664.07
2023-11-22 12:00:00+00:00,54.53,55.73,54.04,54.94,1376751.33
2023-11-22 16:00:00+00:00,54.94,57.67,54.4,57.34,1775262.1
2023-11-22 20:00:00+00:00,57.33,58.94,56.93,57.56,1493411.11
2023-11-23 00:00:00+00:00,57.55,58.49,56.98,57.64,917047.17
2023-11-23 04:00:00+00:00,57.64,58.53,57.5,57.8,555542.87
2023-11-23 08:00:00+00:00,57.81,58.98,57.2,57.97,855837.5
2023-11-23 12:00:00+00:00,57.98,59.63,56.43,56.6,1599333.56
2023-11-23 16:00:00+00:00,56.61,57.32,56.14,56.35,606884.09
2023-11-23 20:00:00+00:00,56.34,57.05,56.29,56.51,390989.96
2023-11-24 00:00:00+00:00,56.52,57.6,56.2,57.28,528395.14
2023-11-24 04:00:00+00:00,57.27,57.44,56.67,57.34,361537.77
2023-11-24 08:00:00+00:00,57.34,58.79,57.08,58.03,993196.92
2023-11-24 12:00:00+00:00,58.02,58.52,57.2,58.13,858031.5
2023-11-24 16:00:00+00:00,58.13,58.43,56.82,57.14,746393.52
2023-11-24 20:00:00+00:00,57.14,57.6,56.5,56.86,418097.07
2023-11-25 00:00:00+00:00,56.86,59.82,55.7,58.83,1668765.42
2023-11-25 04:00:00+00:00,58.82,58.98,58.41,58.6,451257.98
2023-11-25 08:00:00+00:00,58.59,58.83,57.33,57.81,604978.82
2023-11-25 12:00:00+00:00,57.81,58.74,57.7,58.55,452530.46
2023-11-25 16:00:00+00:00,58.55,59.7,58.34,59.03,607852.14
2023-11-25 20:00:00+00:00,59.03,59.3,58.61,58.82,309744.46
2023-11-26 00:00:00+00:00,58.81,59.04,57.99,58.31,347330.45
2023-11-26 04:00:00+00:00,58.32,58.65,58.16,58.41,250885.73
2023-11-26 08:00:00+00:00,58.4,58.63,57.75,57.86,374112.83
2023-11-26 12:00:00+00:00,57.86,58.11,56.67,57.1,794972.27
2023-11-26 16:00:00+00:00,57.09,57.3,56.12,57.2,738890.77
2023-11-26 20:00:00+00:00,57.2,58.69,57.01,57.57,591645.42
2023-11-27 00:00:00+00:00,57.57,58.09,56.15,56.6,528071.71
2023-11-27 04:00:00+00:00,56.6,57.34,55.5,55.93,638105.59
2023-11-27 08:00:00+00:00,55.93,56.29,54.69,55.02,923157.3
2023-11-27 12:00:00+00:00,55.02,55.22,53.91,53.94,896291.54
2023-11-27 16:00:00+00:00,53.94,55.15,53.47,54.13,940354.36
2023-11-27 20:00:00+00:00,54.12,55.17,53.68,55.06,692889.1
2023-11-28 00:00:00+00:00,55.06,55.42,54.62,54.96,507346.22
2023-11-28 04:00:00+00:00,54.96,55.32,53.94,55.09,810241.88
2023-11-28 08:00:00+00:00,55.08,56.35,54.65,56.19,871902.04
2023-11-28 12:00:00+00:00,56.19,56.42,55.41,56.05,912558.38
2023-11-28 16:00:00+00:00,56.05,58.4,55.95,58.04,1758369.37
2023-11-28 20:00:00+00:00,58.04,58.65,57.56,58.18,782498.06
2023-11-29 00:00:00+00:00,58.18,58.85,57.72,58.53,847442.89
2023-11-29 04:00:00+00:00,58.54,59.64,58.2,59.36,1225784.43
2023-11-29 08:00:00+00:00,59.37,61.78,59.36,60.64,1963614.53
2023-11-29 12:00:00+00:00,60.63,61.62,59.11,60.06,1731514.27
2023-11-29 16:00:00+00:00,60.06,60.39,58.88,60.06,1028232.13
2023-11-29 20:00:00+00:00,60.05,60.26,58.6,59.31,777804.59
2023-11-30 00:00:00+00:00,59.31,60.75,58.75,60.42,856129.39
2023-11-30 04:00:00+00:00,60.42,61.25,59.65,60.0,744943.05
2023-11-30 08:00:00+00:00,60.01,60.94,59.24,60.78,669029.99
2023-11-30 12:00:00+00:00,60.79,61.7,59.15,59.59,1166883.21
2023-11-30 16:00:00+00:00,59.6,60.0,58.96,59.99,625384.52
2023-11-30 20:00:00+00:00,59.99,60.18,58.98,59.3,534733.85
2023-12-01 00:00:00+00:00,59.3,61.08,58.6,60.75,1050384.86
2023-12-01 04:00:00+00:00,60.76,61.3,60.21,60.86,794683.57
2023-12-01 08:00:00+00:00,60.87,61.9,60.68,61.04,956545.49
2023-12-01 12:00:00+00:00,61.05,61.2,59.75,60.12,827951.61
2023-12-01 16:00:00+00:00,60.13,61.66,59.87,60.51,1155640.4
